date,url,陈述摘要,类型,market,regime,可结算,结算结果,备注
2026-05-27,https://x.com/TingHu888/status/2059651373378294233,只做短线不做长线;6月大IPO上市附近留部分仓位感受市场再择机买入,挂单,美股,牛,N,,草稿·未审计;段覆盖2026-05-27~06-10(05-11~26待补);IPO后证实为SpaceX(6-12上市);与06-09上市前止盈计划呼应
2026-05-28,https://x.com/TingHu888/status/2059681224952893548,记录:昨日BIT快速入金需求异常;留印记观察此情绪后续影响,记录/试纸,跨市场,未定,N,,次日自述昨日情绪高峰冲入美股AI者精准买在短期高位(2059848958814662982)
2026-05-29,https://x.com/TingHu888/status/2060190853642281339,记录:留几手和峰哥FOMO AI,记录/试纸,跨市场,未定,N,,名人FOMO温度计;同日阐述以言论情绪演化判断市场阶段(2060199259665056120);核对改N:纯情绪记录无可结算断言
2026-05-29,https://x.com/TingHu888/status/2060197454268788887,半导体行情记录:爱是一道绿光(A股半导体普跌),记录/试纸,A股,退潮,Y,,已核joined0529:AI复合体多数下跌 寒武纪-5.86% 北方华创-4.42%;宇宙145涨164跌
2026-05-29,https://x.com/TingHu888/status/2060233707362091417,记录:A股板块资金切换明显;硅基过热碳基压抑存在;切换力度难把控,记录/试纸,A股,退潮,Y,,大趋势上仍称做多硅基消费是方向;高切低与防守两问并存
2026-05-29,https://x.com/TingHu888/status/2060257245154398543,A股尾盘调仓;预计6月第一周进入保守模式;不买入并不断降低仓位,挂单,A股,退潮,Y,,06-01/06-02推文逐日执行减仓;趋势牛内阶段防守挂单
2026-05-29,https://x.com/TingHu888/status/2060339510396031261,记录:AI专类算力与AI商品期货市场即将推出;可作AI板块行情重要参考因子,记录/试纸,跨市场,未定,N,,
2026-05-30,https://x.com/TingHu888/status/2060634532089676124,熊底买XRP与SOL一个周期内赚钱没问题;重点是想赚多少及届时要不要看AI股位置,观点,币圈,熊,N,,熊底为前提条件;无具体价位与时间窗故归观点
2026-05-31,https://x.com/TingHu888/status/2060960519968981272,BNB若因政策风险大幅下挫是很好的趋势大买点;没有下挫则无高倍机会,观点,币圈,未定,N,,同日论证BNB对标HOOD/COIN;主站上美股增量大头是中国人(2060955520945848593)
2026-06-01,https://x.com/TingHu888/status/2061329120513143186,A股今日无论涨跌继续降仓;防守保住前两月大部分盈利;再等整体买入机会,挂单,A股,退潮,Y,,已核joined0601:宇宙132涨176跌;无所谓卖飞为其原话
2026-06-01,https://x.com/TingHu888/status/2061333596489888215,资金发掘AI边角小票现象在这阶段出现基本就是尾声附近;先遵从资金角度,观点,跨市场,退潮,仅限A股,,同日称AI市场进入主力防守加挖角落小票阶段(2061326544698773667)
2026-06-01,https://x.com/TingHu888/status/2061355905745371230,交易所纷纷主站上线美股代表情绪发酵;综合判断美股AI板块同步减仓,挂单,美股,退潮,N,,其定调美股AI为趋势牛内防守阶段
